CH		WOOD															STONE															POTION															BOOK														WOOD2 (Board)																SOUL CRYSTAL															BONES2															WAX														POTION2															MUSHROOM														BOOK2															SOUL CRYSTAL2															WAX2															MUSHROOM2													
		LVL	MULT	Wood	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration	Rang up multiplier		Level	Multiplier	Stone	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration	Rang up multiplier		LVL	MULT	Potion	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration	Rang up multiplier		LVL	MULT	Book	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	Board	Board	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration			LVL	MULT	SoulCrystal	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration	Rang up multiplier		LVL	MULT	BonesBlock	BonesBlock	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	Wax	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	Potion2	Potion2	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	Mushroom	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	MagicScrolls	MagicScrolls	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	SoulCrystal2	SoulCrystal2	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	EvilHoney	EvilHoney	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration		LVL	MULT	Mushroom2	Mushroom2	TycoonPrice	.Currency	MergePrice	.Currency	PROD x3 workers	Cycles	Sec	MIN	WITH MAX MULTIPLIER (x2 * x2)	Usage duration
6		157	1	208707080	919559	Book	75	A	626 121 240	1	5	0					127	1	7656852	58556677	Stone	85	A	22970555	3	21	0		1.17			97	1	288553	2206742	Stone	85	A	865658	3	0	0		1.17			67	1	10874	83162	Book	85	A	32623	3	21	0				7	1	7	700	9	Board	80	A	21	1	5	0																																																																																																																																								
6		158	1	227490717	1029906	Book	75	A	682 472 151	1	5	0					128	1	8345968	68511312	Stone	85	A	25037905	4	28	0		1.17			98	1	314523	2581888	Stone	85	A	943568	4	0	0		1.17			68	1	11853	97300	Book	85	A	35559	4	28	0				8	1	8	800	11	Board	80	A	24	1	5	0																																																																																																																																								
6		159	1	247964882	1153495	Book	75	A	743 894 645	1	5	0					129	1	9097106	80158235	Stone	85	A	27291317	4	28	0		1.17			99	1	342830	3020809	Stone	85	A	1028489	4	0	0		1.17			69	1	12920	113841	Book	85	A	38759	4	28	0				9	1	9	900	13	Board	80	A	27	1	5	0																																																																																																																																								
6		160	1	270281721	1291914	Book	75	A	810 845 163	1	5	0					130	1	9915845	93785135	Stone	85	A	29747535	4	28	0		1.17			100	1	373684	3534346	Stone	85	A	1121053	4	0	0		1.17			70	1	14083	133194	Book	85	A	42248	4	28	0				10	1	10	1000	15	Board	80	A	30	1	5	0																																																																																																																																								
6		161	1	294607076	1446944	Book	75	A	883 821 228	1	5	0					131	1	10808271	109728608	Stone	85	A	32424813	4	28	0		1.17			101	1	407316	4135185	Stone	85	A	1221948	4	0	0		1.17			71	1	15350	155837	Book	85	A	46050	4	28	0				11	2	22	2180	19	Board	80	A	65	1	5	0																																																																																																																																								
6		162	1	321121713	1620577	Book	75	A	963 365 138	1	5	0					132	1	11781015	128382472	Stone	85	A	35343046	5	35	1		1.17			102	1	443974	4838166	Stone	85	A	1331923	5	0	0		1.17			72	1	16731	182329	Book	85	A	50194	5	35	1				12	1	24	2376	22	Board	80	A	71	1	5	0																																																																																																																																								
6		163	1	350022667	1815047	Book	75	A	1050 068 000	1	5	0					133	1	12841307	150207492	Stone	85	A	38523921	5	35	1		1.17			103	1	483932	5660655	Stone	85	A	1451796	5	0	0		1.17			73	1	18237	213325	Book	85	A	54712	5	35	1				13	1	26	2590	27	Board	80	A	78	1	5	0																																																																																																																																								
6		164	1	381524707	2032852	Book	75	A	1144 574 121	1	5	0					134	1	13997025	175742766	Stone	85	A	41991074	5	35	1		1.17			104	1	527486	6622966	Stone	85	A	1582457	5	0	0		1.17			74	1	19879	249590	Book	85	A	59636	5	35	1				14	1	28	2823	32	Board	80	A	85	1	5	0																																																																																																																																								
6		165	1	415861930	2276794	Book	75	A	1247 585 791	1	5	0					135	1	15256757	205619036	Stone	85	A	45770270	6	42	1		1.17			105	1	574960	7748870	Stone	85	A	1724879	6	0	0		1.17			75	1	21668	292021	Book	85	A	65003	6	42	1				15	1	31	3077	39	Board	80	A	92	1	5	0																																																																																																																																								
6		166	1	453289504	2550010	Book	75	A	1359 868 513	1	5	0					136	1	16629865	240574272	Stone	85	A	49889594	6	42	1		1.17			106	1	626706	9066178	Stone	85	A	1880118	6	0	0		1.17			76	1	23618	341664	Book	85	A	70853	6	42	1				16	1	34	3354	46	Board	80	A	101	1	5	0																																																																																																																																								
6		167	1	494085560	2856011	Book	75	A	1482 256 679	1	5	0					137	1	18126553	281471898	Stone	85	A	54379658	7	49	1		1.17			107	1	683109	10607428	Stone	85	A	2049328	7	0	0		1.17			77	1	25743	399747	Book	85	A	77230	7	49	1				17	1	37	3656	55	Board	80	A	110	1	5	0																																																																																																																																								
6		168	1	538553260	3198732	Book	75	A	1615 659 780	1	5	0					138	1	19757942	329322121	Stone	85	A	59273827	7	49	1		1.17			108	1	744589	12410691	Stone	85	A	2233768	7	0	0		1.17			78	1	28060	467704	Book	85	A	84181	7	49	1				18	1	40	3985	67	Board	80	A	120	1	5	0																																																																																																																																								
6		169	1	587023053	3582580	Book	75	A	1761 069 160	1	5	0					139	1	21536157	385306882	Stone	85	A	64608472	7	49	1		1.17			109	1	811602	14520509	Stone	85	A	2434807	7	0	0		1.17			79	1	30586	547214	Book	85	A	91757	7	49	1				19	1	43	4344	80	Board	80	A	130	1	5	0																																																																																																																																								
6		170	1	639855128	4012490	Book	75	A	1919 565 384	1	5	0					140	1	23474411	450809051	Stone	85	A	70423234	8	56	1		1.17			110	1	884647	16988995	Stone	85	A	2653940	8	0	0		1.17			80	1	33338	640240	Book	85	A	100015	8	56	1				20	1	47	4735	96	Board	80	A	142	1	5	0																																																																																																																																								
7		171	2	1394884179	4814987	Wood	85	A	4184 652 538	1	5	0					141	2	51174217	527446590	Stone	85	A	153522650	5	35	1		1.17			111	2	1928529	19877124	Stone	85	A	5785588	5	0	0		1.17			81	2	72678	749081	Book	85	A	218033	5	35	1				21	1	52	5161	115	Board	80	A	155	1	5	0																																																																																																																																								
7		172	1	1520423755	5777985	Wood	85	A	4561 271 266	1	5	0					142	1	55779896	617112510	Stone	85	A	167339689	5	35	1		1.17			112	1	2102097	23256236	Stone	85	A	6306291	5	0	0		1.17			82	1	79219	876424	Book	85	A	237656	5	35	1				22	1	56	5625	138	Board	80	A	169	1	5	0																																																																																																																																								
7		173	1	1657261893	6933582	Wood	85	A	4971 785 680	1	5	0					143	1	60800087	722021637	Stone	85	A	182400261	5	35	1		1.17			113	1	2291286	27209796	Stone	85	A	6873857	5	0	0		1.17			83	1	86348	1025417	Book	85	A	259045	5	35	1				23	1	61	6132	166	Board	80	A	184	2	10	0																																																																																																																																								
7		174	1	1806415464	8320298	Wood	85	A	5419 246 392	1	5	0					144	1	66272095	844765315	Stone	85	A	198816284	5	35	1		1.17			114	1	2497502	31835461	Stone	85	A	7492505	5	0	0		1.17			84	1	94120	1199737	Book	85	A	282359	5	35	1				24	1	67	6683	199	Board	80	A	201	2	10	0																																																																																																																																								
7		175	1	1968992856	9984358	Wood	85	A	5906 978 567	1	5	0					145	1	72236583	988375419	Stone	85	A	216709750	6	42	1		1.17			115	1	2722277	37247489	Stone	85	A	8166830	6	0	0		1.17			85	1	102591	1403693	Book	85	A	307772	6	42	1				25	1	73	7285	238	Board	80	A	219	2	10	0																																																																																																																																								
7		176	1	2146202213	11981230	Wood	85	A	6438 606 638	1	5	0					146	1	78737876	1156399240	Stone	85	A	236213627	6	42	1		1.17			116	1	2967282	43579562	Stone	85	A	8901845	6	0	0		1.17			86	1	111824	1642321	Book	85	A	335471	6	42	1				26	1	79	7941	286	Board	80	A	238	2	10	0																																																																																																																																								
7		177	1	2339360412	14377476	Wood	85	A	7018 081 235	1	5	0					147	1	85824285	1352987111	Stone	85	A	257472854	7	49	1		1.17			117	1	3234337	50988088	Stone	85	A	9703011	7	0	0		1.17			87	1	121888	1921515	Book	85	A	365663	7	49	1				27	1	87	8655	343	Board	80	A	260	2	10	0																																																																																																																																								
7		178	1	2549902849	17252971	Wood	85	A	7649 708 546	1	5	0					148	1	93548470	1582994920	Stone	85	A	280645411	7	49	1		1.17			118	1	3525427	59656063	Stone	85	A	10576282	7	0	0		1.17			88	1	132858	2248173	Book	85	A	398573	7	49	1				28	1	94	9434	412	Board	80	A	283	2	10	0																																																																																																																																								
7		179	1	2779394105	20703565	Wood	85	A	8338 182 316	1	5	0					149	1	101967832	1852104057	Stone	85	A	305903497	8	56	1		1.17			119	1	3842716	69797593	Stone	85	A	11528147	8	0	0		1.17			89	1	144815	2630362	Book	85	A	434445	8	56	1				29	1	103	10283	495	Board	80	A	308	2	10	0																																																																																																																																								
7		180	1	3029539575	24844278	Wood	85	A	9088 618 724	1	5	0					150	1	111144937	2166961746	Stone	85	A	333434812	1	7	0		1.17			120	1	4188560	81663184	Stone	85	A	12565680	1	0	0		1.17			90	1	157848	3077523	Book	85	A	473545	1	7	0				30	2	224	22418	593	Board	90	A	673	2	10	0																																																																																																																																								
7		181	1	3302198136	29813133	Wood	85	A	9906 594 409	1	5	0					151	1	121147982	2000	Board	85	A	363443945	1	7	0		2000			121	1	4565531	2000	Board	85	A	13696592	1	0	0		2000			91	1	172055	2000	Board	85	A	516164	1	7	0		2000		31	1	244	24435	712	Board	90	A	733	2	10	0					1	1	1	0	SoulCrystal	55	A	3	2	14	0		7																																																																																																																							
7		182	1	3599395969	35775760	Wood	85	A	10798 187 906	1	5	0					152	1	132051300	2300	Board	85	A	396153900	1	7	0		1.15			122	1	4976428	2300	Board	85	A	14929285	1	0	0		1.15			92	1	187540	2300	Board	85	A	562619	1	7	0		1.15		32	1	266	26634	855	Board	90	A	799	2	10	0					2	1	2	4	SoulCrystal	95	A	6	1	7	0	TYCOON	1																																																																																																																							
7		183	1	3923341606	42930912	Wood	85	A	11770 024 817	1	5	0					153	1	143935917	2645	Board	85	A	431807752	1	7	0		1.15			123	1	5424307	2645	Board	85	A	16272920	1	0	0		1.15			93	1	204418	2645	Board	85	A	613254	1	7	0		1.15		33	1	290	29031	1025	Board	90	A	871	2	10	0					3	1	3	4	SoulCrystal	95	A	9	1	7	0	MERGE	0																																																																																																																							
7		184	1	4276442350	51517094	Wood	85	A	12829 327 051	1	5	0					154	1	156890150	3042	Board	85	A	470670449	1	7	0		1.15			124	1	5912494	3042	Board	85	A	17737483	1	0	0		1.15			94	1	222816	3042	Board	85	A	668447	1	7	0		1.15		34	1	316	31644	1231	Board	90	A	949	2	10	0					4	1	4	5	SoulCrystal	95	A	12	1	7	0																																																																																																																									
7		185	1	4661322162	61820513	Wood	85	A	13983 966 486	1	5	0					155	1	171010263	3498	Board	85	A	513030790	1	7	0		1.15			125	1	6444619	3498	Board	85	A	19333857	1	0	0		1.15			95	1	242869	3498	Board	85	A	728607	1	7	0		1.15		35	1	345	34492	1477	Board	90	A	1035	2	10	0					5	1	5	6	SoulCrystal	95	A	15	1	7	0																																																																																																																									
7		186	1	5080841156	74184616	Wood	85	A	15242 523 469	1	5	0					156	1	186401187	4023	Board	85	A	559203561	1	7	0		1.15			126	1	7024635	4023	Board	85	A	21073904	1	0	0		1.15			96	1	264727	4023	Board	85	A	794182	1	7	0		1.15		36	1	376	37597	1772	Board	90	A	1128	2	10	0					6	1	6	7	SoulCrystal	95	A	18	1	7	0																																																																																																																									
7		187	1	5538116861	89021539	Wood	85	A	16614 350 582	1	5	0					157	1	203177294	4626	Board	85	A	609531881	1	7	0		1.15			127	1	7656852	4626	Board	85	A	22970555	1	0	0		1.15			97	1	288553	4626	Board	85	A	865658	1	7	0		1.15		37	1	410	40980	2126	Board	90	A	1229	3	15	0					7	1	7	9	SoulCrystal	95	A	21	1	7	0																																																																																																																									
7		188	1	6036547378	106825847	Wood	85	A	18109 642 134	1	5	0					158	1	221463250	5320	Board	85	A	664389750	1	7	0		1.15			128	1	8345968	5320	Board	85	A	25037905	1	0	0		1.15			98	1	314523	5320	Board	85	A	943568	1	7	0		1.15		38	1	447	44669	2552	Board	90	A	1340	3	15	0					8	1	8	11	SoulCrystal	95	A	24	1	7	0																																																																																																																									
7		189	1	6579836642	128191017	Wood	85	A	19739 509 926	1	5	0					159	1	241394943	6118	Board	85	A	724184828	1	7	0		1.15			129	1	9097106	6118	Board	85	A	27291317	1	0	0		1.15			99	1	342830	6118	Board	85	A	1028489	1	7	0		1.15		39	1	487	48689	3062	Board	90	A	1461	3	15	0					9	1	9	13	SoulCrystal	95	A	27	1	7	0																																																																																																																									
7		190	1	7172021940	153829220	Wood	85	A	21516 065 819	1	5	0					160	1	263120487	7036	Board	95	A	789361462	1	7	0		1.15			130	1	9915845	7036	Board	95	A	29747535	1	0	0		1.15			100	1	373684	7036	Board	95	A	1121053	1	7	0		1.15		40	1	531	53071	3674	Board	90	A	1592	3	15	0					10	1	10	15	SoulCrystal	105	A	30	1	7	0																																																																																																																									
7		191	1	7817503914	184595064	Wood	85	A	23452 511 743	1	5	0					161	1	286801331	8091	Board	95	A	860403994	1	7	0		1.15			131	1	10808271	8091	Board	95	A	32424813	1	0	0		1.15			101	1	407316	8091	Board	95	A	1221948	1	7	0		1.15		41	1	578	57847	4409	Board	90	A	1735	4	20	0					11	2	22	19	SoulCrystal	105	A	65	1	7	0																																																																																																																									
7		192	1	8521079267	221514077	Wood	85	A	25563 237 800	1	5	0					162	1	312613451	9305	Board	95	A	937840354	1	7	0		1.15			132	1	11781015	9305	Board	95	A	35343046	1	0	0		1.15			102	1	443974	9305	Board	95	A	1331923	1	7	0		1.15		42	1	631	63053	5291	Board	90	A	1892	4	20	0					12	1	24	22	SoulCrystal	105	A	71	1	7	0																																																																																																																									
7		193	1	9287976401	265816892	Wood	85	A	27863 929 202	1	5	0					163	1	340748662	10701	Board	95	A	1022245985	1	7	0		1.15			133	1	12841307	10701	Board	95	A	38523921	1	0	0		1.15			103	1	483932	10701	Board	95	A	1451796	1	7	0		1.15		43	1	687	68728	6349	Board	90	A	2062	4	20	0					13	1	26	27	SoulCrystal	105	A	78	1	7	0																																																																																																																									
7		194	1	10123894277	318980270	Wood	85	A	30371 682 830	1	5	0					164	1	371416041	12306	Board	95	A	1114248124	1	7	0		1.15			134	1	13997025	12306	Board	95	A	41991074	1	0	0		1.15			104	1	527486	12306	Board	95	A	1582457	1	7	0		1.15		44	1	749	74914	7619	Board	90	A	2247	5	25	0					14	1	28	32	SoulCrystal	105	A	85	1	7	0																																																																																																																									
7		195	1	11035044762	382776324	Wood	85	A	33105 134 285	1	5	0					165	1	404843485	14151	Board	95	A	1214530455	1	7	0		1.15			135	1	15256757	14151	Board	95	A	45770270	1	0	0		1.15			105	1	574960	14151	Board	95	A	1724879	1	7	0		1.15		45	1	817	81656	9143	Board	90	A	2450	5	25	0					15	1	31	39	SoulCrystal	105	A	92	1	7	0																																																																																																																									
7		196	1	12028198790	459331589	Wood	85	A	36084 596 370	1	5	0					166	1	441279399	16274	Board	95	A	1323838196	1	7	0		1.15			136	1	16629865	16274	Board	95	A	49889594	1	0	0		1.15			106	1	626706	16274	Board	95	A	1880118	1	7	0		1.15		46	1	890	89005	10972	Board	90	A	2670	5	25	0					16	1	34	46	SoulCrystal	105	A	101	1	7	0																																																																																																																									
7		197	1	13110736681	551197907	Wood	85	A	39332 210 044	1	5	0					167	1	480994545	18715	Board	95	A	1442983634	1	7	0		1.15			137	1	18126553	18715	Board	95	A	54379658	1	0	0		1.15			107	1	683109	18715	Board	95	A	2049328	1	7	0		1.15		47	1	970	97015	13166	Board	90	A	2910	6	30	1					17	1	37	55	SoulCrystal	105	A	110	1	7	0																																																																																																																									
7		198	1	14290702983	661437488	Wood	85	A	42872 108 948	1	5	0					168	1	524284054	21523	Board	95	A	1572852161	1	7	0		1.15			138	1	19757942	21523	Board	95	A	59273827	1	0	0		1.15			108	1	744589	21523	Board	95	A	2233768	1	7	0		1.15		48	1	1057	105747	15799	Board	90	A	3172	6	30	1					18	1	40	67	SoulCrystal	105	A	120	1	7	0																																																																																																																									
7		199	1	15576866251	793724986	Wood	85	A	46730 598 753	1	5	0					169	1	571469618	24751	Board	95	A	1714408855	1	7	0		1.15			139	1	21536157	24751	Board	95	A	64608472	1	0	0		1.15			109	1	811602	24751	Board	95	A	2434807	1	7	0		1.15		49	1	1153	115264	18959	Board	90	A	3458	7	35	1					19	1	43	80	SoulCrystal	105	A	130	1	7	0																																																																																																																									
7		200	1	16978784214	952469983	Wood	85	A	50936 352 641	1	5	0					170	1	622901884	28464	Board	95	A	1868705652	1	7	0		1.15			140	1	23474411	28464	Board	95	A	70423234	1	0	0		1.15			110	1	884647	28464	Board	95	A	2653940	1	7	0		1.15		50	1	1256	125638	22751	Board	90	A	3769	8	40	1					20	1	47	96	SoulCrystal	105	A	142	1	7	0																																																																																																																									
8		201	2	37013749586	1142963980	Wood	85	A	111041 248 757	1	5	0					171	2	1357926107	32733	Board	95	A	4073778322	1	7	0		1.15			141	2	51174217	32733	Board	95	A	153522650	1	0	0		1.15			111	2	1928529	32733	Board	95	A	5785588	1	7	0		1.15		51	2	2739	273890	27301	Board	90	A	8217	4	20	0					21	1	52	115	SoulCrystal	105	A	155	1	7	0																																																																																																																									
8		202	1	40344987048	1371556776	Wood	85	A	121034 961 145	1	5	0					172	1	1480139457	37643	Board	95	A	4440418371	1	7	0		1.15			142	1	55779896	37643	Board	95	A	167339689	1	0	0		1.15			112	1	2102097	37643	Board	95	A	6306291	1	7	0		1.15		52	1	2985	298540	32762	Board	90	A	8956	5	25	0					22	1	56	138	SoulCrystal	105	A	169	1	7	0																																																																																																																									
8		203	1	43976035883	1645868131	Wood	85	A	131928 107 648	1	5	0					173	1	1613352008	43289	Board	95	A	4840056024	1	7	0		1.15			143	1	60800087	43289	Board	95	A	182400261	1	0	0		1.15			113	1	2291286	43289	Board	95	A	6873857	1	7	0		1.15		53	1	3254	325409	39314	Board	90	A	9762	5	25	0					23	1	61	166	SoulCrystal	105	A	184	2	14	0																																																																																																																									
8		204	1	47933879112	1975041757	Wood	85	A	143801 637 336	1	5	0					174	1	1758553689	49783	Board	95	A	5275661066	1	7	0		1.15			144	1	66272095	49783	Board	95	A	198816284	1	0	0		1.15			114	1	2497502	49783	Board	95	A	7492505	1	7	0		1.15		54	1	3547	354696	47177	Board	90	A	10641	6	30	1					24	1	67	199	SoulCrystal	105	A	201	2	14	0																																																																																																																									
8		205	1	52247928232	2370050109	Wood	85	A	156743 784 697	1	5	0					175	1	1916823521	57250	Board	95	A	5750470562	1	7	0		1.15			145	1	72236583	57250	Board	95	A	216709750	1	0	0		1.15			115	1	2722277	57250	Board	95	A	8166830	1	7	0		1.15		55	1	3866	386618	56612	Board	90	A	11599	6	30	1					25	1	73	238	SoulCrystal	105	A	219	2	14	0																																																																																																																									
8		206	1	56950241773	2844060130	Wood	85	A	170850 725 319	1	5	0					176	1	2089337638	65838	Board	95	A	6268012913	1	7	0		1.15			146	1	78737876	65838	Board	95	A	236213627	1	0	0		1.15			116	1	2967282	65838	Board	95	A	8901845	1	7	0		1.15		56	1	4214	421414	67934	Board	90	A	12642	7	35	1					26	1	79	286	SoulCrystal	105	A	238	2	14	0																																																																																																																									
8		207	1	62075763533	3412872156	Wood	85	A	186227 290 598	1	5	0					177	1	2277378025	75714	Board	95	A	6832134075	1	7	0		1.15			147	1	85824285	75714	Board	95	A	257472854	1	0	0		1.15			117	1	3234337	75714	Board	95	A	9703011	1	7	0		1.15		57	1	4593	459341	81521	Board	90	A	13780	8	40	1					27	1	87	343	SoulCrystal	105	A	260	2	14	0																																																																																																																									
8		208	1	67662582251	4095446588	Wood	85	A	202987 746 752	1	5	0					178	1	2482342047	87071	Board	95	A	7447026142	1	7	0		1.15			148	1	93548470	87071	Board	95	A	280645411	1	0	0		1.15			118	1	3525427	87071	Board	95	A	10576282	1	7	0		1.15		58	1	5007	500682	97826	Board	90	A	15020	8	40	1					28	1	94	412	SoulCrystal	105	A	283	2	14	0																																																																																																																									
8		209	1	73752214653	4914535905	Wood	85	A	221256 643 960	1	5	0					179	1	2705752832	100131	Board	95	A	8117258495	1	7	0		1.15			149	1	101967832	100131	Board	95	A	305903497	1	0	0		1.15			119	1	3842716	100131	Board	95	A	11528147	1	7	0		1.15		59	1	5457	545743	117391	Board	90	A	16372	9	45	1					29	1	103	495	SoulCrystal	105	A	308	2	14	0																																																																																																																									
8		210	1	80389913972	5897443086	Wood	85	A	241169 741 916	1	5	0					180	1	2949270586	115151	Board	95	A	8847811759	1	7	0		1.15			150	1	111144937	115151	Board	95	A	333434812	1	0	0		1.15			120	1	4188560	115151	Board	95	A	12565680	1	7	0		1.15		60	1	5949	594860	140869	Board	90	A	17846	1	5	0					30	2	224	593	SoulCrystal	105	A	673	2	14	0																																																																																																																									
8		211	1	87625006229	7076931704	Wood	95	A	262875 018 688	1	5	0					181	1	3214704939	2000	SoulCrystal	95	A	9644114818	1	7	0		2000			151	1	121147982	2000	SoulCrystal	95	A	363443945	1	0	0		2000			121	1	4565531	2000	SoulCrystal	95	A	13696592	1	7	0		2000		61	1	6484	648398	2000	SoulCrystal	100	A	1945193	1	5	0		2000			31	1	244	712	SoulCrystal	105	A	733	2	14	0					1	1	1	100	0	BonesBlock	55	A	3	2	14	0		7																																																																																																							
8		212	1	95511256790	8492318044	Wood	95	A	286533 770 370	1	5	0					182	1	3504028384	2300	SoulCrystal	95	A	10512085151	1	7	0		1.15			152	1	132051300	2300	SoulCrystal	95	A	396153900	1	0	0		1.15			122	1	4976428	2300	SoulCrystal	95	A	14929285	1	7	0		1.15		62	1	7068	706753	2300	SoulCrystal	100	A	2120260	1	5	0		1.15			32	1	266	855	SoulCrystal	105	A	799	2	14	0					2	1	2	200	4	BonesBlock	100	A	6	1	7	0	TYCOON	1																																																																																																							
8		213	1	104107269901	10190781653	Wood	95	A	312321 809 704	1	5	0					183	1	3819390938	2645	SoulCrystal	95	A	11458172815	1	7	0		1.15			153	1	143935917	2645	SoulCrystal	95	A	431807752	1	0	0		1.15			123	1	5424307	2645	SoulCrystal	95	A	16272920	1	7	0		1.15		63	1	7704	770361	2645	SoulCrystal	100	A	2311083	1	5	0		1.15			33	1	290	1025	SoulCrystal	105	A	871	2	14	0					3	1	3	300	4	BonesBlock	100	A	9	1	7	0	MERGE	0																																																																																																							
8		214	1	113476924192	12228937984	Wood	95	A	340430 772 577	1	5	0					184	1	4163136123	3042	SoulCrystal	95	A	12489408368	1	7	0		1.15			154	1	156890150	3042	SoulCrystal	95	A	470670449	1	0	0		1.15			124	1	5912494	3042	SoulCrystal	95	A	17737483	1	7	0		1.15		64	1	8397	839694	3042	SoulCrystal	100	A	2519081	1	5	0		1.15			34	1	316	1231	SoulCrystal	105	A	949	2	14	0					4	1	4	400	5	BonesBlock	100	A	12	1	7	0																																																																																																									
8		215	1	123689847370	14674725581	Wood	95	A	371069 542 109	1	5	0					185	1	4537818374	3498	SoulCrystal	95	A	13613455121	1	7	0		1.15			155	1	171010263	3498	SoulCrystal	95	A	513030790	1	0	0		1.15			125	1	6444619	3498	SoulCrystal	95	A	19333857	1	7	0		1.15		65	1	9153	915266	3498	SoulCrystal	100	A	2745798	1	5	0		1.15			35	1	345	1477	SoulCrystal	105	A	1035	2	14	0					5	1	5	500	6	BonesBlock	100	A	15	1	7	0																																																																																																									
8		216	1	134821933633	17609670697	Wood	95	A	404465 800 899	1	5	0					186	1	4946222027	4023	SoulCrystal	95	A	14838666082	1	7	0		1.15			156	1	186401187	4023	SoulCrystal	95	A	559203561	1	0	0		1.15			126	1	7024635	4023	SoulCrystal	95	A	21073904	1	7	0		1.15		66	1	9976	997640	4023	SoulCrystal	100	A	2992920	1	5	0		1.15			36	1	376	1772	SoulCrystal	105	A	1128	2	14	0					6	1	6	600	7	BonesBlock	100	A	18	1	7	0																																																																																																									
8		217	1	146955907660	21131604836	Wood	95	A	440867 722 980	1	5	0					187	1	5391382010	4626	SoulCrystal	95	A	16174146030	1	7	0		1.15			157	1	203177294	4626	SoulCrystal	95	A	609531881	1	0	0		1.15			127	1	7656852	4626	SoulCrystal	95	A	22970555	1	7	0		1.15		67	1	10874	1087428	4626	SoulCrystal	100	A	3262283	1	5	0		1.15			37	1	410	2126	SoulCrystal	105	A	1229	3	21	0					7	1	7	700	9	BonesBlock	100	A	21	1	7	0																																																																																																									
8		218	1	160181939349	25357925804	Wood	95	A	480545 818 048	1	5	0					188	1	5876606391	5320	SoulCrystal	95	A	17629819172	1	7	0		1.15			158	1	221463250	5320	SoulCrystal	95	A	664389750	1	0	0		1.15			128	1	8345968	5320	SoulCrystal	95	A	25037905	1	7	0		1.15		68	1	11853	1185296	5320	SoulCrystal	100	A	3555888	1	5	0		1.15			38	1	447	2552	SoulCrystal	105	A	1340	3	21	0					8	1	8	800	11	BonesBlock	100	A	24	1	7	0																																																																																																									
8		219	1	174598313891	30429510964	Wood	95	A	523794 941 672	1	5	0					189	1	6405500966	6118	SoulCrystal	95	A	19216502898	1	7	0		1.15			159	1	241394943	6118	SoulCrystal	95	A	724184828	1	0	0		1.15			129	1	9097106	6118	SoulCrystal	95	A	27291317	1	7	0		1.15		69	1	12920	1291973	6118	SoulCrystal	100	A	3875918	1	5	0		1.15			39	1	487	3062	SoulCrystal	105	A	1461	3	21	0					9	1	9	900	13	BonesBlock	100	A	27	1	7	0																																																																																																									
8		220	1	190312162141	36515413157	Wood	95	A	570936 486 423	1	5	0					190	1	6981996053	7036	SoulCrystal	95	A	20945988159	1	7	0		1.15			160	1	263120487	7036	SoulCrystal	95	A	789361462	1	0	0		1.15			130	1	9915845	7036	SoulCrystal	95	A	29747535	1	7	0		1.15		70	1	14083	1408250	7036	SoulCrystal	100	A	4224751	1	5	0		1.15			40	1	531	3674	SoulCrystal	105	A	1592	3	21	0					10	1	10	1000	15	BonesBlock	110	A	30	1	7	0																																																																																																									
